Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,VGPG,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM,Winner
FURIA Uppercut,S10,BR,21,52.4%,0.94,1712,2,35:19:00,12.6,13.4,6.8,6.6,52.4,38.1,2.57,48.4,-,0.86,42.9,1.24,0.4,495,-,0.71,46.5,30.4,1890,3.4,1.52,1.50,0
INTZ e-Sports,S10,BR,21,38.1%,0.98,1754,-2,34:48:00,14.2,14.6,6.1,7.0,33.3,52.4,2.33,46.6,-,0.86,42.9,0.95,0.1,249,-,0.62,46.8,30.6,2000,3.3,1.34,1.56,0
KaBuM! e-Sports,S10,BR,21,52.4%,01.06,1739,33,33:08:00,14.3,13.5,6.1,5.9,23.8,33.3,2.71,54.9,-,0.81,40.5,0.86,-0.3,-855,-,0.81,55.6,30.6,2109,3.4,1.46,1.34,1
paiN Gaming,S10,BR,21,47.6%,01.05,1697,-26,34:42:00,12.8,12.1,5.7,6.7,57.1,42.9,2.38,44.4,-,0.67,35.7,01.05,-0.4,-75,-,0.57,45.0,30.8,1839,3.6,1.45,1.51,0
Prodigy Esports,S10,BR,21,52.4%,0.97,1719,0,33:25:00,14.0,14.4,6.6,6.4,52.4,71.4,2.29,46.0,-,1.52,76.2,0.86,0.4,232,-,0.86,57.5,29.1,2025,3.5,1.42,1.31,0
Redemption POA,S10,BR,21,28.6%,0.84,1641,-147,33:04:00,13.3,15.9,4.4,7.7,57.1,38.1,1.81,38.0,-,01.05,52.4,0.81,-0.4,-894,-,0.48,31.7,28.6,1884,3.5,1.53,1.39,0
Vivo Keyd,S10,BR,21,66.7%,01.07,1771,79,33:21:00,16.5,15.3,7.4,5.2,61.9,57.1,3.00,59.5,-,1.00,52.4,1.00,0.0,280,-,0.86,56.7,29.6,2145,3.0,1.27,1.37,0
CNB e-Sports Club,S9,BR,21,33.3%,0.77,1706,-161,34:44:00,10.9,14.1,4.8,8.3,47.6,38.1,2.29,43.6,-,0.52,52.4,0.95,0.0,-1520,-,0.81,42.5,31.0,1772,3.4,1.24,1.38,0
Flamengo eSports,S9,BR,21,76.2%,1.25,1914,197,31:18:00,15.5,12.4,8.4,3.7,52.4,57.1,2.57,65.3,-,0.57,57.1,1.00,0.5,914,-,1.00,78.6,32.7,1937,3.4,1.19,1.34,1
INTZ eSports,S9,BR,21,52.4%,1.10,1816,23,32:51:00,12.6,11.5,6.4,6.0,57.1,47.6,1.48,40.2,-,0.62,61.9,0.81,-0.2,-2,-,0.76,54.8,32.0,1751,3.5,1.35,1.48,0
